update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,entropy,value,policy_loss,value_loss,grad_norm,Games,Strat,return_mean,return_std,return_min,return_max
479,2452480,1615.2770098937692,1525,0.05581640712916851,0.15287455904627983,0.0,0.7226172089576721,1.9454131126403809,-0.008443714841268957,-0.0015752869832795114,1.2678345092353993e-05,0.0006867084,6,0.0,0.05581640712916851,0.15287455904627983,0.0,0.7226172089576721
480,2457600,1628.6696333580776,1528,0.06582226641476155,0.16173503069573789,0.0,0.7226172089576721,1.943323403596878,-0.0029523202450945974,-0.0022475622303318233,7.959033082443057e-05,0.0013896406,7,0.0,0.06582226641476155,0.16173503069573789,0.0,0.7226172089576721
481,2462720,1629.2802964607135,1531,0.08844043053686619,0.207683256635578,0.0,0.9047265648841858,1.9431259632110596,-0.002793930031475611,-0.0038450854539405555,0.00038906380614207593,0.004406978,1,0.0,0.08844043053686619,0.207683256635578,0.0,0.9047265648841858
482,2467840,1632.1393896413424,1534,0.08844043053686619,0.207683256635578,0.0,0.9047265648841858,1.9453866481781006,-0.001741807709913701,-0.0006069889801437967,1.590978854437708e-05,0.0007044766,1,0.0,0.08844043053686619,0.207683256635578,0.0,0.9047265648841858
483,2472960,1635.1972729194345,1538,0.08173046968877315,0.2060903495592175,0.0,0.9047265648841858,1.9451393961906434,-0.0028493742749560623,-0.0003997111776698148,1.1936219846120365e-05,0.00079928926,3,0.0,0.08173046968877315,0.2060903495592175,0.0,0.9047265648841858
484,2478080,1644.2389852759288,1541,0.08173046968877315,0.2060903495592175,0.0,0.9047265648841858,1.9453153252601623,-0.0025131336296908557,-0.0005136062565725297,5.637378404799165e-06,0.000408982,0,0.0,0.08173046968877315,0.2060903495592175,0.0,0.9047265648841858
485,2483200,1622.955597334962,1544,0.09771289192140102,0.2232102269749853,0.0,0.9047265648841858,1.9422426581382752,0.0016195141528442037,-0.0023390609290800056,0.0003385694168173359,0.0032189093,1,0.0,0.09771289192140102,0.2232102269749853,0.0,0.9047265648841858
486,2488320,1640.9698996834413,1547,0.09936132952570915,0.23077364038923878,0.0,0.9047265648841858,1.9430310308933259,-9.799691324587911e-05,-0.0009333894216979388,4.405211409448384e-05,0.0026592012,3,0.0,0.09936132952570915,0.23077364038923878,0.0,0.9047265648841858
487,2493440,1630.991898218647,1550,0.09936132952570915,0.23077364038923878,0.0,0.9047265648841858,1.9440162837505341,-0.010871685645543038,-0.002517079294193536,4.8900858564593365e-05,0.0016896182,1,0.0,0.09936132952570915,0.23077364038923878,0.0,0.9047265648841858
488,2498560,1643.5279999608154,1553,0.11464941576123237,0.2435850602952039,0.0,0.9047265648841858,1.9435501575469971,-0.00871757639106363,-0.002858035173267126,3.531520010255917e-05,0.0013639021,2,0.0,0.11464941576123237,0.2435850602952039,0.0,0.9047265648841858
